company,position,date_applied,response_date,status
Company,(Senior) Data Analyst,2025-09-25,2025-10-23,Rejected
Company,Data Analyst,2025-10-03,2025-10-30,Rejected
Company,Data Analyst - Exchange,2025-10-03,2025-10-10,Rejected
Company,Senior Business/Data Analyst,2025-10-03,,
Company,Analytics Engineer,2025-10-06,2025-10-06,Rejected
Company,"Data Analyst, Professional Services",2025-10-06,2025-10-07,Interview
Company,Financial Data Analyst,2025-10-06,,
Company,Decision Scientist (Data Analyst),2025-10-06,2025-10-07,Rejected
Company,Senior Data Analyst,2025-10-08,2025-10-08,Interview
Company,Senior Customer Intelligence Analyst,2025-10-08,2025-10-10,Rejected
Company,Data Modeler,2025-10-08,2025-10-15,Rejected
Company,"Sr. Professional, DTC Analytics",2025-10-09,2025-10-24,Rejected
Company,Senior Analyst (Growth),2025-10-09,2025-10-10,Rejected
Company,Senior Data Analyst – AI infrastructure,2025-10-09,2026-01-21,Rejected
Company,Senior Data Analyst,2025-10-10,2025-10-20,Rejected
Company,Margin & Pricing Analyst,2025-10-13,,
Company,Data Analyst,2025-10-13,2025-10-14,Rejected
Company,Senior Analyst – Parental Leave (Contract Position),2025-10-14,2025-10-15,Rejected
Company,Senior Data Analyst,2025-10-14,2025-11-07,Interview
Company,Senior BI and Data Analyst,2025-10-14,,
Company,Data Analyst,2025-10-15,,
Company,Reporting Specialist,2025-10-15,2025-10-20,Rejected
Company,Senior Data Analyst,2025-10-15,2025-10-20,Rejected
Company,Revenue Operations Analyst,2025-10-16,2025-10-17,Rejected
Company,Consumer Insights Data Analyst,2025-10-16,2025-10-16,Rejected
Company,Senior Product Growth Analyst,2025-10-16,,
Company,Business Analyst II - Marketing Analytics,2025-10-17,2025-11-12,Rejected
Company,Retail Data Analyst,2025-10-17,2025-10-28,Rejected
Company,Business Analyst in Strategy Planning team,2025-10-17,,
Company,Automations Data Analyst,2025-10-18,2025-10-18,Rejected
Company,Data Analyst Direct to Consumer,2025-10-20,2025-12-04,Rejected
Company,Data Analyst,2025-10-20,,
Company,Data Analyst - People Analytics,2025-10-21,2025-10-25,Rejected
Company,Senior Supply Chain Analyst,2025-10-21,,
Company,Senior / Lead Insight Analyst (12 Month FTC),2025-10-21,2025-10-23,Rejected
Company,Data Analyst,2025-10-23,2025-11-11,Interview
Company,Data Analyst II - Accounting Analytics ,2025-10-23,2025-10-27,Interview
Company,Data Analyst,2025-10-23,,
Company,Data-analist / Data Analyst,2025-10-23,,
Company,Data Analyst,2025-10-23,2025-11-06,Rejected
Company,Senior Data Analyst – Calvin Klein E-commerce,2025-10-24,2025-11-05,Interview
Company,Financial Data Analyst,2025-10-24,2025-10-24,Interview
Company,Supply Chain Analyst,2025-10-27,2025-10-31,Rejected
Company,Data Visualization Expert,2025-10-27,,
Company,Data Operations Analyst,2025-10-27,2025-10-29,Rejected
Company,Data Analyst,2025-10-28,2025-11-04,Rejected
Company,Data Operations Analyst,2025-10-28,2025-10-29,Rejected
Company,Data Analyst (JetBrains AI),2025-11-07,2025-11-15,Rejected
Company,Senior Revenue Systems & Data Analyst,2025-11-14,2025-11-18,Rejected
Company,Revenue Analyst,2025-11-14,,
Company,Senior Data & Reporting Specialist,2025-11-20,,
Company,Pricing Analyst (Commercial Insights & Execution),2025-11-20,2026-02-02,Rejected
Company,"Researcher, Consumer Insights - EMEA",2025-11-20,,
Company,"Analyst, Talent Operations EMEA (FTC)",2025-11-20,2025-12-05,Rejected
Company,Insights & AI Analyst,2025-11-20,2025-12-08,Rejected
Company,"Retail Operations Analyst​, EMEA",2025-11-22,2025-11-24,Rejected
Company,Master Data Senior Analyst – Procure to Pay,2025-11-24,2025-12-12,Rejected
Company,Accounts Receivable Analyst,2025-11-24,,
Company,Data Partner (Data Office),2025-11-25,2025-11-25,Rejected
